epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
147,13253.3,1.66211,1.04079,0.9773,0.52247,0.402,0.39544,0.17333,1.84592,1.29839,1.04759,0.0005546,0.0005546,0.0005546
148,13312.1,1.64136,1.0377,0.97058,0.51947,0.40613,0.39827,0.17337,1.85171,1.30178,1.04491,0.0005447,0.0005447,0.0005447
149,13367.6,1.65682,1.05515,0.97676,0.51628,0.40656,0.39683,0.1737,1.84826,1.29399,1.04618,0.0005348,0.0005348,0.0005348
150,13466.6,1.67618,1.05796,0.97166,0.51677,0.40278,0.39504,0.17394,1.84786,1.30394,1.04787,0.0005249,0.0005249,0.0005249
151,13643,1.64445,1.03251,0.97031,0.52075,0.40304,0.39782,0.17444,1.84089,1.29657,1.04769,0.000515,0.000515,0.000515
152,13713.9,1.65946,1.04115,0.97115,0.52074,0.40196,0.39493,0.17313,1.8491,1.29908,1.0461,0.0005051,0.0005051,0.0005051
153,13781.1,1.65519,1.038,0.97078,0.51513,0.40308,0.39436,0.17294,1.84699,1.30822,1.04517,0.0004952,0.0004952,0.0004952
154,13919.8,1.64499,1.03022,0.97044,0.51108,0.40747,0.39632,0.17289,1.84999,1.31053,1.04625,0.0004853,0.0004853,0.0004853
155,13981.3,1.67014,1.05509,0.97037,0.52413,0.40065,0.39534,0.17311,1.84449,1.29616,1.04642,0.0004754,0.0004754,0.0004754
156,14065.4,1.65427,1.03609,0.96648,0.51778,0.40261,0.3959,0.17425,1.84619,1.30019,1.04747,0.0004655,0.0004655,0.0004655
157,14149.3,1.66002,1.03844,0.97122,0.51518,0.40385,0.39487,0.17256,1.85345,1.30836,1.04656,0.0004556,0.0004556,0.0004556
158,14195.4,1.64346,1.03562,0.96834,0.52103,0.39977,0.39391,0.17224,1.85224,1.30496,1.04332,0.0004457,0.0004457,0.0004457
159,14238.3,1.64591,1.03094,0.97231,0.52612,0.40217,0.39769,0.1744,1.84276,1.29806,1.04355,0.0004358,0.0004358,0.0004358
160,14306.2,1.62538,1.01036,0.96658,0.52605,0.3987,0.39628,0.17365,1.84609,1.29969,1.04879,0.0004259,0.0004259,0.0004259
161,14369.2,1.64206,1.02859,0.97302,0.52552,0.39909,0.39648,0.17424,1.84653,1.29781,1.04716,0.000416,0.000416,0.000416
162,14539.4,1.63196,1.01949,0.96587,0.51961,0.40156,0.39704,0.17334,1.84979,1.29983,1.04523,0.0004061,0.0004061,0.0004061
163,14616.7,1.63753,1.03188,0.96523,0.5175,0.40543,0.39704,0.17444,1.84394,1.29523,1.04867,0.0003962,0.0003962,0.0003962
164,14718.8,1.64074,1.02359,0.9677,0.52591,0.39652,0.3961,0.17365,1.84711,1.30586,1.04635,0.0003863,0.0003863,0.0003863
165,14792.9,1.63919,1.02368,0.9636,0.52263,0.40004,0.39707,0.17456,1.84257,1.3038,1.04777,0.0003764,0.0003764,0.0003764
166,14878.5,1.63635,1.01783,0.96844,0.52106,0.40043,0.39759,0.17398,1.84945,1.30159,1.04734,0.0003665,0.0003665,0.0003665
167,14968,1.62619,1.01265,0.96674,0.51975,0.40491,0.39846,0.17498,1.84545,1.2986,1.04646,0.0003566,0.0003566,0.0003566
168,15024.9,1.62879,1.01581,0.96035,0.52451,0.3991,0.39881,0.1754,1.84743,1.30111,1.04543,0.0003467,0.0003467,0.0003467
169,15083.1,1.62046,1.01073,0.96057,0.51653,0.39891,0.39343,0.17255,1.85406,1.30759,1.04874,0.0003368,0.0003368,0.0003368
170,15169.6,1.64101,1.0187,0.96516,0.52368,0.40009,0.39729,0.17402,1.85109,1.29788,1.04824,0.0003269,0.0003269,0.0003269
171,15231.7,1.62283,1.01452,0.96723,0.52247,0.40291,0.39601,0.17299,1.85115,1.29779,1.04925,0.000317,0.000317,0.000317
172,15278.6,1.63107,1.01265,0.96107,0.52103,0.40443,0.39604,0.17339,1.8489,1.29917,1.04864,0.0003071,0.0003071,0.0003071
173,15426.9,1.62528,1.00847,0.95811,0.51757,0.40352,0.39584,0.1734,1.84967,1.2982,1.05114,0.0002972,0.0002972,0.0002972
174,15568.2,1.62174,1.00099,0.96489,0.52122,0.40088,0.39554,0.17395,1.8537,1.29703,1.0505,0.0002873,0.0002873,0.0002873
175,15667.2,1.62509,1.01178,0.96084,0.51978,0.40287,0.39526,0.17346,1.85121,1.30433,1.04987,0.0002774,0.0002774,0.0002774
176,15709,1.61503,0.99867,0.96385,0.51634,0.40449,0.39478,0.17361,1.84719,1.30096,1.04759,0.0002675,0.0002675,0.0002675
177,15767,1.62131,1.00179,0.9619,0.51426,0.40456,0.39422,0.1725,1.85389,1.302,1.04917,0.0002576,0.0002576,0.0002576
178,15959.8,1.60671,0.99533,0.95641,0.51811,0.40447,0.39675,0.17307,1.85327,1.30755,1.04916,0.0002477,0.0002477,0.0002477
